index,category,description
1,spam email,"Limited offer, earn money fast from home"
2,ham email,"Happy birthday, have a great day"
3,ham email,"Happy birthday, have a great day"
4,spam email,"Limited offer, earn money fast from home"
5,spam email,Claim your free gift card today
6,ham email,Lunch plan for today?
7,spam email,"Congratulations, you won a lottery"
8,ham email,Lunch plan for today?
9,spam email,Act now to secure your reward
10,spam email,Urgent: update your bank details immediately
11,ham email,Can we reschedule our call?
12,ham email,Let's catch up this weekend
13,ham email,Please find attached the project report
14,ham email,Invitation to team meeting
15,spam email,You have been selected for a prize reward
16,ham email,Please find attached the project report
17,ham email,Let's catch up this weekend
18,ham email,Invitation to team meeting
19,spam email,"Exclusive deal just for you, click now"
20,ham email,Let's catch up this weekend
21,ham email,Meeting scheduled for tomorrow at 10 AM
22,ham email,Reminder to submit your timesheet
23,ham email,Can we reschedule our call?
24,spam email,Urgent: update your bank details immediately
25,ham email,"Happy birthday, have a great day"
26,spam email,"Limited offer, earn money fast from home"
27,ham email,"Happy birthday, have a great day"
28,ham email,Reminder to submit your timesheet
29,spam email,You have been selected for a prize reward
30,ham email,Reminder to submit your timesheet
31,spam email,Claim your free gift card today
32,spam email,"Win a free iPhone now, click here"
33,ham email,"Happy birthday, have a great day"
34,spam email,You have been selected for a prize reward
35,ham email,Project update: tasks completed
36,ham email,Meeting scheduled for tomorrow at 10 AM
37,ham email,Invitation to team meeting
38,ham email,Invitation to team meeting
39,ham email,Please find attached the project report
40,spam email,"Exclusive deal just for you, click now"
41,spam email,Act now to secure your reward
42,spam email,"Limited offer, earn money fast from home"
43,ham email,Can we reschedule our call?
44,ham email,"Happy birthday, have a great day"
45,spam email,"Congratulations, you won a lottery"
46,spam email,"Your account has been compromised, verify now"
47,spam email,"Congratulations, you won a lottery"
48,spam email,Act now to secure your reward
49,ham email,"Happy birthday, have a great day"
50,spam email,Act now to secure your reward
51,spam email,You have been selected for a prize reward
52,ham email,Reminder to submit your timesheet
53,ham email,Reminder to submit your timesheet
54,ham email,"Happy birthday, have a great day"
55,spam email,"Limited offer, earn money fast from home"
56,spam email,"Win a free iPhone now, click here"
57,spam email,Act now to secure your reward
58,ham email,Invitation to team meeting
59,ham email,Project update: tasks completed
60,spam email,You have been selected for a prize reward
61,spam email,Act now to secure your reward
62,ham email,"Happy birthday, have a great day"
63,spam email,"Your account has been compromised, verify now"
64,spam email,Get rich quick with this simple trick
